time,cell,A,B,C
0,0,1,0,0
0,1,0.666667,0,0
0,2,0.333333,0,0
1,0,0.999953,4.71901e-05,2.7049e-12
1,1,0.666637,2.9849e-05,1.85692e-12
1,2,0.333316,1.73244e-05,7.58304e-13
2,0,0.999906,9.4378e-05,8.11458e-12
2,1,0.666607,5.96967e-05,5.57068e-12
2,2,0.333299,3.46478e-05,2.27487e-12
3,0,0.999858,0.000141564,1.62289e-11
3,1,0.666577,8.9543e-05,1.11412e-11
3,2,0.333281,5.19704e-05,4.54967e-12
4,0,0.999811,0.000188747,2.70477e-11
4,1,0.666547,0.000119388,1.85684e-11
4,2,0.333264,6.9292e-05,7.58264e-12
5,0,0.999764,0.000235928,4.0571e-11
5,1,0.666517,0.000149232,2.78521e-11
5,2,0.333247,8.66128e-05,1.13738e-11
6,0,0.999717,0.000283107,5.67984e-11
6,1,0.666488,0.000179074,3.89924e-11
6,2,0.333229,0.000103933,1.5923e-11
7,0,0.99967,0.000330284,7.57301e-11
7,1,0.666458,0.000208915,5.19891e-11
7,2,0.333212,0.000121252,2.12303e-11
8,0,0.999623,0.000377458,9.73657e-11
8,1,0.666428,0.000238755,6.68422e-11
8,2,0.333195,0.00013857,2.72956e-11
9,0,0.999575,0.000424631,1.21705e-10
9,1,0.666398,0.000268593,8.35514e-11
9,2,0.333177,0.000155887,3.41189e-11
10,0,0.999528,0.000471801,1.48748e-10
10,1,0.666368,0.00029843,1.02117e-10
10,2,0.33316,0.000173203,4.17002e-11
11,0,0.999481,0.000518969,1.78495e-10
11,1,0.666338,0.000328266,1.22538e-10
11,2,0.333143,0.000190518,5.00394e-11
12,0,0.999434,0.000566134,2.10946e-10
12,1,0.666309,0.0003581,1.44816e-10
12,2,0.333126,0.000207833,5.91364e-11
13,0,0.999387,0.000613298,2.46099e-10
13,1,0.666279,0.000387933,1.68949e-10
13,2,0.333108,0.000225146,6.89913e-11
14,0,0.99934,0.000660459,2.83956e-10
14,1,0.666249,0.000417764,1.94939e-10
14,2,0.333091,0.000242459,7.9604e-11
15,0,0.999292,0.000707618,3.24517e-10
15,1,0.666219,0.000447595,2.22784e-10
15,2,0.333074,0.000259771,9.09744e-11
16,0,0.999245,0.000754774,3.6778e-10
16,1,0.666189,0.000477424,2.52485e-10
16,2,0.333056,0.000277082,1.03103e-10
17,0,0.999198,0.000801929,4.13746e-10
17,1,0.666159,0.000507251,2.84041e-10
17,2,0.333039,0.000294391,1.15988e-10
18,0,0.999151,0.000849081,4.62414e-10
18,1,0.66613,0.000537077,3.17453e-10
18,2,0.333022,0.000311701,1.29632e-10
19,0,0.999104,0.000896231,5.13786e-10
19,1,0.6661,0.000566902,3.5272e-10
19,2,0.333004,0.000329009,1.44033e-10
20,0,0.999057,0.000943379,5.67859e-10
20,1,0.66607,0.000596726,3.89843e-10
20,2,0.332987,0.000346316,1.59191e-10
21,0,0.999009,0.000990524,6.24635e-10
21,1,0.66604,0.000626548,4.28821e-10
21,2,0.33297,0.000363622,1.75107e-10
22,0,0.998962,0.00103767,6.84114e-10
22,1,0.66601,0.000656369,4.69654e-10
22,2,0.332952,0.000380928,1.91781e-10
23,0,0.998915,0.00108481,7.46294e-10
23,1,0.66598,0.000686189,5.12342e-10
23,2,0.332935,0.000398232,2.09212e-10
24,0,0.998868,0.00113195,8.11176e-10
24,1,0.665951,0.000716007,5.56885e-10
24,2,0.332918,0.000415536,2.274e-10
25,0,0.998821,0.00117908,8.78761e-10
25,1,0.665921,0.000745824,6.03283e-10
25,2,0.3329,0.000432839,2.46346e-10
26,0,0.998774,0.00122622,9.49047e-10
26,1,0.665891,0.000775639,6.51536e-10
26,2,0.332883,0.00045014,2.66049e-10
27,0,0.998727,0.00127335,1.02203e-09
27,1,0.665861,0.000805454,7.01643e-10
27,2,0.332866,0.000467441,2.8651e-10
28,0,0.99868,0.00132048,1.09772e-09
28,1,0.665831,0.000835267,7.53606e-10
28,2,0.332849,0.000484741,3.07727e-10
29,0,0.998632,0.00136761,1.17611e-09
29,1,0.665802,0.000865078,8.07423e-10
29,2,0.332831,0.000502041,3.29702e-10
30,0,0.998585,0.00141473,1.2572e-09
30,1,0.665772,0.000894888,8.63094e-10
30,2,0.332814,0.000519339,3.52434e-10
31,0,0.998538,0.00146186,1.341e-09
31,1,0.665742,0.000924697,9.2062e-10
31,2,0.332797,0.000536636,3.75923e-10
32,0,0.998491,0.00150898,1.42749e-09
32,1,0.665712,0.000954505,9.8e-10
