time,cell,A,B,C
0,0,1,0,0
0,1,0.666667,0,0
0,2,0.333333,0,0
1,0,0.998005,0.00199004,5.97012e-06
1,1,0.665337,0.00132669,3.98008e-06
1,2,0.332669,0.000663347,1.99004e-06
2,0,0.996014,0.00397016,1.78806e-05
2,1,0.66401,0.00264677,1.19204e-05
2,2,0.332005,0.00132339,5.9602e-06
3,0,0.994026,0.00594039,3.57018e-05
3,1,0.662684,0.00396026,2.38012e-05
3,2,0.331342,0.00198013,1.19006e-05
4,0,0.992043,0.00790077,5.94041e-05
4,1,0.661362,0.00526718,3.96027e-05
4,2,0.330681,0.00263359,1.98014e-05
5,0,0.990063,0.00985134,8.89581e-05
5,1,0.660042,0.00656757,5.93054e-05
5,2,0.330021,0.00328378,2.96527e-05
6,0,0.988087,0.0117921,0.000124335
6,1,0.658724,0.00786143,8.28897e-05
6,2,0.329362,0.00393072,4.14449e-05
7,0,0.986115,0.0137232,0.000165504
7,1,0.657408,0.0091488,0.000110336
7,2,0.328704,0.0045744,5.51681e-05
8,0,0.984146,0.0156446,0.000212438
8,1,0.656096,0.0104297,0.000141625
8,2,0.328048,0.00521485,7.08126e-05
9,0,0.982182,0.0175563,0.000265107
9,1,0.654788,0.0117042,0.000176738
9,2,0.327394,0.00585208,8.83689e-05
10,0,0.980225,0.0194583,0.000323482
10,1,0.653479,0.0129722,0.000215654
10,2,0.32674,0.0064861,0.000107827
11,0,0.978268,0.0213508,0.000387534
11,1,0.652175,0.0142339,0.000258356
11,2,0.326087,0.00711693,0.000129178
12,0,0.976318,0.0232337,0.000457235
12,1,0.650874,0.0154891,0.000304823
12,2,0.325437,0.00774457,0.000152412
13,0,0.974369,0.0251072,0.000532557
13,1,0.649575,0.0167381,0.000355038
13,2,0.324787,0.00836904,0.000177519
14,0,0.972427,0.0269711,0.00061347
14,1,0.648278,0.0179807,0.00040898
14,2,0.324139,0.00899034,0.00020449
15,0,0.970486,0.0288256,0.000699947
15,1,0.646985,0.019217,0.000466631
15,2,0.323492,0.0096085,0.000233315
16,0,0.968548,0.0306707,0.000791959
16,1,0.645693,0.0204471,0.000527972
16,2,0.322847,0.0102235,0.000263986
17,0,0.966614,0.0325064,0.000889478
17,1,0.644404,0.0216708,0.000592984
17,2,0.322202,0.0108354,0.000296492
18,0,0.964684,0.0343328,0.000992476
18,1,0.643119,0.0228884,0.00066165
18,2,0.321559,0.0114442,0.000330825
19,0,0.962757,0.0361498,0.00110093
19,1,0.641835,0.0240998,0.000733949
19,2,0.320917,0.0120499,0.000366974
20,0,0.960835,0.0379576,0.0012148
20,1,0.640553,0.025305,0.000809864
20,2,0.320277,0.0126525,0.000404932
21,0,0.958916,0.0397562,0.00133407
21,1,0.639273,0.026504,0.000889376
21,2,0.319637,0.013252,0.000444688
22,0,0.957001,0.0415455,0.0014587
22,1,0.637997,0.0276969,0.000972467
22,2,0.318999,0.0138485,0.000486233
23,0,0.95509,0.0433257,0.00158868
23,1,0.636725,0.0288837,0.00105912
23,2,0.318363,0.0144419,0.000529559
24,0,0.953182,0.0450968,0.00172397
24,1,0.635453,0.0300644,0.00114931
24,2,0.317726,0.0150322,0.000574656
25,0,0.951282,0.0468588,0.00186455
25,1,0.634185,0.0312391,0.00124303
25,2,0.317092,0.0156195,0.000621514
26,0,0.949383,0.0486117,0.00201038
26,1,0.63292,0.0324077,0.00134025
26,2,0.31646,0.0162038,0.000670126
27,0,0.947491,0.0503557,0.00216145
27,1,0.631655,0.0335703,0.00144096
27,2,0.315828,0.0167851,0.000720481
28,0,0.945599,0.0520906,0.00231772
28,1,0.630395,0.0347269,0.00154514
28,2,0.315197,0.0173635,0.000772572
29,0,0.943714,0.0538166,0.00247917
29,1,0.629138,0.0358775,0.00165278
29,2,0.314569,0.0179388,0.000826388
30,0,0.94183,0.0555336,0.00264577
30,1,0.627881,0.0370222,0.00176384
30,2,0.31394,0.0185111,0.000881921
31,0,0.939953,0.0572418,0.0028175
31,1,0.626628,0.038161,0.00187833
31,2,0.313314,0.0190805,0.000939163
32,0,0.938076,0.0589411,0.00299432
32,1,0.625376,0.0392939,0.00199621
32,2,0.312688,0.0196469,0.000998104
33,0,0.936203,0.0606316,0.00317622
33,1,0.624129,0.0404209,0.00211747
33,2,0.312064,0.0202104,0.00105873
34,0,0.934334,0.0623134,0.00336316
34,1,0.622883,0.041542,0.0022421
34,2,0.311442,0.020771,0.00112105
35,0,0.932468,0.0639863,0.00355512
