time,cell,A,B,C
0,0,1,0,0
0,1,0.666667,0,0
0,2,0.333333,0,0
1,0,0.999962,3.75727e-05,3.87854e-08
1,1,0.666642,2.50222e-05,2.31852e-08
1,2,0.333321,1.25517e-05,1.61359e-08
2,0,0.999924,7.51052e-05,1.16315e-07
2,1,0.666617,5.00202e-05,6.95331e-08
2,2,0.333309,2.50869e-05,4.83864e-08
3,0,0.999886,0.000112598,2.32547e-07
3,1,0.666592,7.49942e-05,1.39022e-07
3,2,0.333296,3.76055e-05,9.67303e-08
4,0,0.999847,0.00015005,3.8744e-07
4,1,0.666567,9.99442e-05,2.31628e-07
4,2,0.333284,5.01076e-05,1.61146e-07
5,0,0.999809,0.000187462,5.80952e-07
5,1,0.666543,0.00012487,3.47331e-07
5,2,0.333271,6.25931e-05,2.41613e-07
6,0,0.999771,0.000224834,8.13044e-07
6,1,0.666518,0.000149772,4.86107e-07
6,2,0.333259,7.50621e-05,3.38109e-07
7,0,0.999733,0.000262167,1.08367e-06
7,1,0.666493,0.00017465,6.47935e-07
7,2,0.333247,8.75147e-05,4.50614e-07
8,0,0.999695,0.000299459,1.3928e-06
8,1,0.666468,0.000199504,8.32793e-07
8,2,0.333234,9.99508e-05,5.79106e-07
9,0,0.999657,0.000336711,1.74038e-06
9,1,0.666444,0.000224334,1.04066e-06
9,2,0.333222,0.000112371,7.23564e-07
10,0,0.999619,0.000373924,2.12637e-06
10,1,0.666419,0.00024914,1.27151e-06
10,2,0.333209,0.000124774,8.83967e-07
11,0,0.99958,0.000411097,2.55073e-06
11,1,0.666394,0.000273922,1.52532e-06
11,2,0.333197,0.000137161,1.06029e-06
12,0,0.999542,0.00044823,3.01343e-06
12,1,0.666369,0.000298681,1.80207e-06
12,2,0.333185,0.000149531,1.25252e-06
13,0,0.999504,0.000485323,3.51442e-06
13,1,0.666344,0.000323415,2.10174e-06
13,2,0.333172,0.000161885,1.46064e-06
14,0,0.999466,0.000522377,4.05366e-06
14,1,0.66632,0.000348126,2.42431e-06
14,2,0.33316,0.000174223,1.68461e-06
15,0,0.999428,0.000559391,4.6311e-06
15,1,0.666295,0.000372813,2.76975e-06
15,2,0.333147,0.000186545,1.92442e-06
16,0,0.99939,0.000596365,5.24672e-06
16,1,0.66627,0.000397476,3.13805e-06
16,2,0.333135,0.00019885,2.18005e-06
17,0,0.999352,0.0006333,5.90046e-06
17,1,0.666245,0.000422115,3.52917e-06
17,2,0.333123,0.000211139,2.45148e-06
18,0,0.999313,0.000670195,6.59228e-06
18,1,0.66622,0.000446731,3.94311e-06
18,2,0.33311,0.000223412,2.73869e-06
19,0,0.999275,0.000707051,7.32215e-06
19,1,0.666196,0.000471323,4.37983e-06
19,2,0.333098,0.000235668,3.04166e-06
20,0,0.999237,0.000743867,8.09003e-06
20,1,0.666171,0.000495891,4.83931e-06
20,2,0.333085,0.000247908,3.36035e-06
21,0,0.999199,0.000780644,8.89587e-06
21,1,0.666146,0.000520435,5.32154e-06
21,2,0.333073,0.000260132,3.69477e-06
22,0,0.999161,0.000817382,9.73964e-06
22,1,0.666121,0.000544956,5.82649e-06
22,2,0.333061,0.00027234,4.04488e-06
23,0,0.999123,0.00085408,1.06213e-05
23,1,0.666096,0.000569453,6.35413e-06
23,2,0.333048,0.000284532,4.41066e-06
24,0,0.999084,0.000890739,1.15408e-05
24,1,0.666072,0.000593927,6.90446e-06
24,2,0.333036,0.000296708,4.79209e-06
25,0,0.999046,0.000927359,1.24981e-05
25,1,0.666047,0.000618377,7.47744e-06
25,2,0.333023,0.000308868,5.18916e-06
26,0,0.999008,0.00096394,1.34931e-05
26,1,0.666022,0.000642803,8.07305e-06
26,2,0.333011,0.000321011,5.60183e-06
27,0,0.99897,0.00100048,1.45259e-05
27,1,0.665997,0.000667206,8.69127e-06
27,2,0.332999,0.000333139,6.0301e-06
28,0,0.998932,0.00103698,1.55963e-05
28,1,0.665972,0.000691586,9.33208e-06
28,2,0.332986,0.00034525,6.47394e-06
29,0,0.998894,0.00107345,1.67044e-05
29,1,0.665948,0.000715942,9.99546e-06
29,2,0.332974,0.000357345,6.93332e-06
30,0,0.998856,0.00110987,1.78501e-05
30,1,0.665923,0.000740274,1.06814e-05
30,2,0.332961,0.000369425,7.40824e-06
31,0,0.998817,0.00114626,1.90334e-05
31,1,0.665898,0.000764583,1.13898e-05
31,2,0.332949,0.000381488,7.89866e-06
32,0,0.998779,0.0011826,2.02542e-05
