time,cell,A,B,C
0,0,1,0,0
0,1,0.666667,0,0
0,2,0.333333,0,0
1,0,1,1.73551e-09,4.03393e-11
1,1,0.666667,1.23199e-09,2.73331e-11
1,2,0.333333,5.03674e-10,1.2726e-11
2,0,1,3.39278e-09,1.58923e-10
2,1,0.666667,2.41089e-09,1.07756e-10
2,2,0.333333,9.82729e-10,5.00712e-11
3,0,1,4.97533e-09,3.52223e-10
3,1,0.666667,3.53899e-09,2.3898e-10
3,2,0.333333,1.43837e-09,1.10832e-10
4,0,1,6.48654e-09,6.16872e-10
4,1,0.666667,4.61848e-09,4.18817e-10
4,2,0.333333,1.87173e-09,1.93864e-10
5,0,1,7.92961e-09,9.49653e-10
5,1,0.666667,5.65145e-09,6.45173e-10
5,2,0.333333,2.28392e-09,2.98079e-10
6,0,1,9.30762e-09,1.34749e-09
6,1,0.666667,6.6399e-09,9.16041e-10
6,2,0.333333,2.67596e-09,4.22442e-10
7,0,1,1.06235e-08,1.80746e-09
7,1,0.666667,7.58576e-09,1.2295e-09
7,2,0.333333,3.04883e-09,5.65966e-10
8,0,1,1.18801e-08,2.32675e-09
8,1,0.666667,8.49086e-09,1.58373e-09
8,2,0.333333,3.40348e-09,7.27717e-10
9,0,1,1.308e-08,2.9027e-09
9,1,0.666667,9.35696e-09,1.97695e-09
9,2,0.333333,3.7408e-09,9.06802e-10
10,0,1,1.42258e-08,3.53274e-09
10,1,0.666667,1.01857e-08,2.4075e-09
10,2,0.333333,4.06162e-09,1.10238e-09
11,0,1,1.53199e-08,4.21444e-09
11,1,0.666667,1.09788e-08,2.87377e-09
11,2,0.333333,4.36677e-09,1.31363e-09
12,0,1,1.63648e-08,4.94546e-09
12,1,0.666667,1.17377e-08,3.3742e-09
12,2,0.333333,4.657e-09,1.5398e-09
13,0,1,1.73625e-08,5.7236e-09
13,1,0.666667,1.24639e-08,3.90734e-09
13,2,0.333333,4.93304e-09,1.78016e-09
14,0,1,1.83152e-08,6.54671e-09
14,1,0.666667,1.31588e-08,4.47178e-09
14,2,0.333333,5.19559e-09,2.03401e-09
15,0,1,1.9225e-08,7.41278e-09
15,1,0.666667,1.38237e-08,5.06615e-09
15,2,0.333333,5.44531e-09,2.30069e-09
16,0,1,2.00938e-08,8.31987e-09
16,1,0.666667,1.446e-08,5.68919e-09
16,2,0.333333,5.68282e-09,2.57958e-09
17,0,1,2.09234e-08,9.26612e-09
17,1,0.666667,1.50689e-08,6.33964e-09
17,2,0.333333,5.90872e-09,2.87007e-09
18,0,1,2.17156e-08,1.02498e-08
18,1,0.666667,1.56515e-08,7.01633e-09
18,2,0.333333,6.12358e-09,3.17161e-09
19,0,1,2.2472e-08,1.12691e-08
19,1,0.666667,1.6209e-08,7.71812e-09
19,2,0.333333,6.32794e-09,3.48366e-09
20,0,1,2.31944e-08,1.23226e-08
20,1,0.666667,1.67425e-08,8.44395e-09
20,2,0.333333,6.52231e-09,3.80569e-09
21,0,1,2.38842e-08,1.34087e-08
21,1,0.666667,1.7253e-08,9.19276e-09
21,2,0.333333,6.70718e-09,4.13722e-09
22,0,1,2.45429e-08,1.45258e-08
22,1,0.666667,1.77415e-08,9.96357e-09
22,2,0.333333,6.88301e-09,4.47779e-09
23,0,1,2.51719e-08,1.56726e-08
23,1,0.666667,1.8209e-08,1.07554e-08
23,2,0.333333,7.05025e-09,4.82695e-09
24,0,1,2.57726e-08,1.68478e-08
24,1,0.666667,1.86563e-08,1.15674e-08
24,2,0.333333,7.20931e-09,5.18428e-09
25,0,1,2.63462e-08,1.80501e-08
25,1,0.666667,1.90844e-08,1.23987e-08
25,2,0.333333,7.3606e-09,5.5494e-09
26,0,1,2.68939e-08,1.92783e-08
26,1,0.666667,1.9494e-08,1.32484e-08
26,2,0.333333,7.50449e-09,5.9219e-09
27,0,1,2.74169e-08,2.05311e-08
27,1,0.666667,1.98859e-08,1.41158e-08
27,2,0.333333,7.64135e-09,6.30144e-09
28,0,1,2.79163e-08,2.18075e-08
28,1,0.666667,2.0261e-08,1.50001e-08
28,2,0.333333,7.77152e-09,6.68767e-09
29,0,1,2.83933e-08,2.31064e-08
29,1,0.666667,2.06199e-08,1.59005e-08
29,2,0.333333,7.89533e-09,7.08026e-09
30,0,1,2.88487e-08,2.44269e-08
30,1,0.666667,2.09633e-08,1.68164e-08
30,2,0.333333,8.01309e-09,7.47891e-09
31,0,1,2.92836e-08,2.57678e-08
31,1,0.666667,2.12919e-08,1.77471e-08
