time,cell,A,B,C
0,0,1,0,0
0,1,0.666667,0,0
0,2,0.333333,0,0
1,0,0.996014,0.00394811,3.5949e-05
1,1,0.66401,0.00258753,6.8509e-05
1,2,0.332005,0.00132556,2.46206e-06
2,0,0.992046,0.00784486,0.00010738
2,1,0.661364,0.00509801,0.000203487
2,2,0.330682,0.00264338,7.37179e-06
3,0,0.988094,0.0116908,0.000213829
3,1,0.65873,0.00753347,0.000402948
3,2,0.329365,0.00395349,1.47149e-05
4,0,0.984158,0.0154864,0.000354839
4,1,0.656106,0.00989588,0.000664957
4,2,0.328053,0.00525594,2.44772e-05
5,0,0.980236,0.0192322,0.000529956
5,1,0.653493,0.0121872,0.000987632
5,2,0.326746,0.00655076,3.66444e-05
6,0,0.97633,0.0229288,0.000738731
6,1,0.650889,0.0144092,0.00136914
6,2,0.325445,0.00783798,5.12024e-05
7,0,0.972439,0.0265765,0.000980721
7,1,0.648295,0.0165639,0.00180769
7,2,0.324148,0.00911764,6.81373e-05
8,0,0.968563,0.030176,0.00125549
8,1,0.645713,0.0186528,0.00230156
8,2,0.322856,0.0103898,8.7435e-05
9,0,0.964706,0.0337278,0.00156259
9,1,0.64314,0.0206779,0.00284904
9,2,0.32157,0.0116544,0.000109082
10,0,0.960865,0.0372322,0.0019016
10,1,0.640578,0.0226408,0.00344849
10,2,0.320289,0.0129116,0.000133063
11,0,0.957039,0.0406899,0.0022721
11,1,0.638026,0.0245431,0.00409831
11,2,0.319013,0.0141613,0.000159366
12,0,0.953228,0.0441012,0.00267366
12,1,0.635485,0.0263864,0.00479693
12,2,0.317743,0.0154037,0.000187976
13,0,0.949429,0.0474667,0.00310586
13,1,0.632952,0.0281723,0.00554284
13,2,0.316476,0.0166387,0.000218881
14,0,0.945644,0.0507869,0.0035683
14,1,0.630431,0.0299023,0.00633455
14,2,0.315215,0.0178664,0.000252065
15,0,0.941875,0.0540621,0.00406055
15,1,0.627919,0.0315779,0.00717062
15,2,0.313959,0.0190867,0.000287516
16,0,0.938122,0.0572929,0.00458223
16,1,0.625418,0.0332005,0.00804966
16,2,0.312709,0.0202999,0.000325221
17,0,0.934383,0.0604798,0.00513292
17,1,0.622925,0.0347716,0.00897029
17,2,0.311463,0.0215058,0.000365165
18,0,0.93066,0.0636231,0.00571223
18,1,0.620444,0.0362925,0.0099312
18,2,0.310222,0.0227045,0.000407336
19,0,0.926952,0.0667234,0.00631978
19,1,0.617972,0.0377645,0.0109311
19,2,0.308986,0.0238961,0.00045172
20,0,0.923256,0.069781,0.00695516
20,1,0.615512,0.0391889,0.0119687
20,2,0.307756,0.0250805,0.000498304
21,0,0.919579,0.0727965,0.007618
21,1,0.613059,0.0405671,0.0130427
21,2,0.306529,0.0262578,0.000547074
22,0,0.915916,0.0757702,0.00830792
22,1,0.610615,0.0419002,0.0141521
22,2,0.305308,0.0274281,0.000598019
23,0,0.91227,0.0787027,0.00902454
23,1,0.608184,0.0431894,0.0152956
23,2,0.304092,0.0285914,0.000651124
24,0,0.908638,0.0815943,0.00976748
24,1,0.605759,0.0444359,0.0164721
24,2,0.30288,0.0297477,0.000706376
25,0,0.905018,0.0844455,0.0105364
25,1,0.603347,0.0456409,0.0176806
25,2,0.301673,0.030897,0.000763763
26,0,0.901413,0.0872566,0.0113309
26,1,0.600943,0.0468054,0.0189198
26,2,0.300472,0.0320393,0.000823272
27,0,0.897821,0.0900281,0.0121506
27,1,0.598548,0.0479306,0.0201888
27,2,0.299274,0.0331748,0.00088489
28,0,0.894245,0.0927605,0.0129953
28,1,0.596163,0.0490174,0.0214867
28,2,0.298082,0.0343034,0.000948605
29,0,0.890682,0.0954541,0.0138644
29,1,0.593789,0.050067,0.0228123
29,2,0.296894,0.0354252,0.0010144
30,0,0.887135,0.0981093,0.0147577
30,1,0.591422,0.0510802,0.0241647
30,2,0.295711,0.0365402,0.00108227
31,0,0.8836,0.100727,0.0156749
31,1,0.589066,0.0520582,0.025543
31,2,0.294533,0.0376484,0.0011522
32,0,0.880081,0.103306,0.0166155
32,1,0.586718,0.0530017,0.0269463
32,2,0.293359,0.0387499,0.00122417
33,0,0.876574,0.105849,0.0175793
33,1,0.58438,0.0539119,0.0283737
33,2,0.29219,0.0398446,0.00129818
34,0,0.873081,0.108354,0.0185659
34,1,0.582053,0.0547894,0.0298244
34,2,0.291026,0.0409327,0.00137421
35,0,0.869602,0.110824,0.019575
35,1,0.579734,0.0556353,0.0312974
