variant,temperature,initial_xm,status,final_aq,final_xm,constraint_init_iterations,solves
main,2.78000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,3.46044558018628159e+05,6.25595693833616110e+02,10,10
main,2.78000000000000000e+02,1.00000000000000000e+01,Constraint Initialization Failed,3.46044558018628159e+05,5.88255521026899714e+02,10,10
main,2.78000000000000000e+02,1.00000000000000000e+02,Converged,3.46044558018628159e+05,5.88255521026898805e+02,8,7
main,2.78000000000000000e+02,3.00000000000000000e+02,Converged,3.46044558018628159e+05,5.88255521026898805e+02,7,6
main,2.78000000000000000e+02,6.00000000000000000e+02,Converged,3.46044558018628159e+05,5.88255521026898805e+02,5,4
main,2.78000000000000000e+02,8.00000000000000000e+02,Converged,3.46044558018628159e+05,5.88255521026898805e+02,6,5
main,2.78000000000000000e+02,9.00000000000000000e+02,Converged,3.46044558018628159e+05,5.88255521026898805e+02,6,5
main,2.78000000000000000e+02,1.20000000000000000e+03,Converged,3.46044558018628159e+05,5.88255521026898805e+02,7,6
main,2.78000000000000000e+02,2.00000000000000000e+03,Converged,3.46044558018628159e+05,5.88255521026898805e+02,7,6
main,2.79000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,3.79785719177938823e+05,6.62343704060438995e+02,10,10
main,2.79000000000000000e+02,1.00000000000000000e+01,Constraint Initialization Failed,3.79785719177938823e+05,6.16267571090629758e+02,10,10
main,2.79000000000000000e+02,1.00000000000000000e+02,Converged,3.79785719177938823e+05,6.16267571090625211e+02,8,7
main,2.79000000000000000e+02,3.00000000000000000e+02,Converged,3.79785719177938823e+05,6.16267571090625211e+02,7,6
main,2.79000000000000000e+02,6.00000000000000000e+02,Converged,3.79785719177938823e+05,6.16267571090625211e+02,5,4
main,2.79000000000000000e+02,8.00000000000000000e+02,Converged,3.79785719177938823e+05,6.16267571090625211e+02,6,5
main,2.79000000000000000e+02,9.00000000000000000e+02,Converged,3.79785719177938823e+05,6.16267571090625211e+02,6,5
main,2.79000000000000000e+02,1.20000000000000000e+03,Converged,3.79785719177938823e+05,6.16267571090625211e+02,7,6
main,2.79000000000000000e+02,2.00000000000000000e+03,Converged,3.79785719177938823e+05,6.16267571090625211e+02,7,6
main,2.80000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,4.16539909210004495e+05,7.01803730714396238e+02,10,10
main,2.80000000000000000e+02,1.00000000000000000e+01,Constraint Initialization Failed,4.16539909210004495e+05,6.45399030995578755e+02,10,10
main,2.80000000000000000e+02,1.00000000000000000e+02,Converged,4.16539909210004495e+05,6.45399030995557382e+02,8,7
main,2.80000000000000000e+02,3.00000000000000000e+02,Converged,4.16539909210004495e+05,6.45399030995557382e+02,8,7
main,2.80000000000000000e+02,6.00000000000000000e+02,Converged,4.16539909210004495e+05,6.45399030995557382e+02,5,4
main,2.80000000000000000e+02,8.00000000000000000e+02,Converged,4.16539909210004495e+05,6.45399030995557382e+02,6,5
main,2.80000000000000000e+02,9.00000000000000000e+02,Converged,4.16539909210004495e+05,6.45399030995557382e+02,6,5
main,2.80000000000000000e+02,1.20000000000000000e+03,Converged,4.16539909210004495e+05,6.45399030995557382e+02,7,6
main,2.80000000000000000e+02,2.00000000000000000e+03,Converged,4.16539909210004495e+05,6.45399030995557382e+02,7,6
main,2.81000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,4.56550758412539784e+05,7.44220589813158995e+02,10,10
main,2.81000000000000000e+02,1.00000000000000000e+01,Constraint Initialization Failed,4.56550758412539784e+05,6.75685398993248100e+02,10,10
main,2.81000000000000000e+02,1.00000000000000000e+02,Converged,4.56550758412539784e+05,6.75685398993155559e+02,8,7
main,2.81000000000000000e+02,3.00000000000000000e+02,Converged,4.56550758412539784e+05,6.75685398993155559e+02,7,6
main,2.81000000000000000e+02,6.00000000000000000e+02,Converged,4.56550758412539784e+05,6.75685398993155559e+02,5,4
main,2.81000000000000000e+02,8.00000000000000000e+02,Converged,4.56550758412539784e+05,6.75685398993155559e+02,5,4
main,2.81000000000000000e+02,9.00000000000000000e+02,Converged,4.56550758412539784e+05,6.75685398993155559e+02,6,5
main,2.81000000000000000e+02,1.20000000000000000e+03,Converged,4.56550758412539784e+05,6.75685398993155559e+02,6,5
main,2.81000000000000000e+02,2.00000000000000000e+03,Converged,4.56550758412539784e+05,6.75685398993155559e+02,7,6
main,2.82000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,5.00079462880625972e+05,7.89857271310374131e+02,10,10
main,2.82000000000000000e+02,1.00000000000000000e+01,Constraint Initialization Failed,5.00079462880625972e+05,7.07162967696381997e+02,10,10
main,2.82000000000000000e+02,1.00000000000000000e+02,Converged,5.00079462880625972e+05,7.07162967696008536e+02,9,8
main,2.82000000000000000e+02,3.00000000000000000e+02,Converged,5.00079462880625972e+05,7.07162967696008536e+02,7,6
main,2.82000000000000000e+02,6.00000000000000000e+02,Converged,5.00079462880625972e+05,7.07162967696008536e+02,5,4
main,2.82000000000000000e+02,8.00000000000000000e+02,Converged,5.00079462880625972e+05,7.07162967696008536e+02,5,4
main,2.82000000000000000e+02,9.00000000000000000e+02,Converged,5.00079462880625972e+05,7.07162967696008536e+02,6,5
main,2.82000000000000000e+02,1.20000000000000000e+03,Converged,5.00079462880625972e+05,7.07162967696008536e+02,6,5
main,2.82000000000000000e+02,2.00000000000000000e+03,Converged,5.00079462880625972e+05,7.07162967696008536e+02,7,6
main,2.83000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,5.47405889138363302e+05,8.38995784116460754e+02,10,10
