15 27           # first data record, number of data records
Structure:	n-C3H7I
Name:	        1-iodopropane
Author(Year):	JPL-2002(2002)
Temperature:	298K
Wavelength range:	205-335nm(rec)
Bibliography:

?(?, T) = ?(298 K) [1 + a1(T-298) + a2(T-298)2] with

------------------------
 ?     103 a1    105 a2
(nm)   (K-1)     (K-2)
------------------------
205     7.60     4.37
210     0.283    1.57
215    -1.49    -2.46
220    -1.59    -2.97
225    -0.891   -2.14
230    -0.375   -1.26
235    -0.311   -1.04
240    -0.611   -0.804
245    -0.949   -0.609
250    -1.22    -0.611
255    -1.55    -0.776
260    -1.44    -0.867
265    -1.02    -1.04
270    -0.306   -1.16
275     0.524   -1.50
280     1.68    -1.66
285     3.08    -1.44
290     5.56     0.812
295     6.76     2.05
300     7.16     2.90
305     6.90     3.20
310     7.10     4.01
315     5.59     2.78
320     3.68     0.0140
325     4.23     0.0238
330    11.40    12.3
335    15.76    25.8
