9 131		# first data record, number of data records 
Structure:	I2O4
Name:	
Author(Year):	R.W. Saunders, R. Kumar, J. Plane - Unplublished
Temperature:	298K
Wavelength range: 
Bibliography:

299 5.30247871346729E-18
300 5.15210999737075E-18
301 4.42851532644194E-18
302 4.44791573674305E-18
303 3.96783405983616E-18
304 3.70984604920846E-18
305 3.50094784885974E-18
306 3.376229104395E-18
307 3.16197368191631E-18
308 2.96996300094099E-18
309 2.79408294448135E-18
310 2.61614254054578E-18
311 2.45417022791431E-18
312 2.3008966290269E-18
313 2.15272848513783E-18
314 2.01108716511679E-18
315 1.87263755120115E-18
316 1.7497273870807E-18
317 1.62753428124654E-18
318 1.51662448591276E-18
319 1.40903068678734E-18
320 1.31036824698328E-18
321 1.21517636928484E-18
322 1.12360643266357E-18
323 1.04617210505923E-18
324 9.68033466871471E-19
325 8.95260018127975E-19
326 8.29695395355917E-19
327 7.64081375235249E-19
328 7.06366150503709E-19
329 6.57553602762095E-19
330 6.07934762814126E-19
331 5.61104482868372E-19
332 5.1931591940662E-19
333 4.80817856747482E-19
334 4.46641265360345E-19
335 4.15371150226946E-19
336 3.92288247260047E-19
337 3.71938133095317E-19
338 3.51180092438835E-19
339 3.32675208264143E-19
340 3.19008077327577E-19
341 2.9633310085243E-19
342 2.81596756337872E-19
343 2.70409053608989E-19
344 2.6456263838149E-19
345 2.59879451040629E-19
346 2.56834343518211E-19
347 2.61327908778922E-19
348 2.61450605419019E-19
349 2.56874180089671E-19
350 2.55059225893945E-19
351 2.50811053913429E-19
352 2.44677815371416E-19
353 2.41192912100078E-19
354 2.36879408142367E-19
355 2.29598876342301E-19
356 2.2276292067973E-19
357 2.1682727153216E-19
358 2.12198261928484E-19
359 2.08068006199491E-19
360 2.05567862974649E-19
361 2.00425758330566E-19
362 1.98743061552087E-19
363 1.94674950874571E-19
364 1.91406758551976E-19
365 1.87850149452009E-19
366 1.87737013589062E-19
367 1.86623183051035E-19
368 1.8165317239566E-19
369 1.81794990590059E-19
370 1.84054520923281E-19
371 1.82292151001882E-19
372 1.82959811939555E-19
373 1.79164183410827E-19
374 1.78797686953393E-19
375 1.78574602153216E-19
376 1.76625797077383E-19
377 1.77250434517879E-19
378 1.75161404710506E-19
379 1.71306818056017E-19
380 1.6487719542234E-19
381 1.59776520812576E-19
382 1.65184733754013E-19
383 1.5960283336101E-19
384 1.62949105363667E-19
385 1.56497174249972E-19
386 1.5357635683051E-19
387 1.45062484778036E-19
388 1.48738603592383E-19
389 1.47584936482896E-19
390 1.43414844182442E-19
391 1.42245242444371E-19
392 1.39440747813572E-19
393 1.31656681750249E-19
394 1.32611166002436E-19
395 1.22041726862615E-19
396 1.21711880050924E-19
397 1.15011368731319E-19
398 1.13215536089893E-19
399 1.09011981069412E-19
400 1.03117761956161E-19
401 9.98925931307429E-20
402 9.40350236632348E-20
403 8.45841954500166E-20
404 8.47674436787335E-20
405 7.85656862338094E-20
406 7.28132853149563E-20
407 7.42856449961253E-20
408 6.79117935624931E-20
409 6.67979630244659E-20
410 5.68276659194066E-20
411 5.58301581700432E-20
412 5.00299533654379E-20
413 4.34696667773719E-20
414 4.42791459094432E-20
415 4.16021283073176E-20
416 3.58146712055796E-20
417 3.29066014889848E-20
418 3.01451303553637E-20
419 2.77533426048932E-20
420 2.18304411601904E-20
421 1.91900732038083E-20
422 1.53354865493192E-20
423 1.17294801007417E-20
424 1.37754864109377E-20
425 6.50929577659694E-21
426 6.97140000553528E-21
427 3.99959177460453E-22
428 1.96792663013396E-21
429 2.30574075611647E-21
