14  125	# first data record, number of data records 
		Created by Douglas E. Kinnison, 8/1/05
Reference:
R1
R2  
           	
CS2 + hv -> Products

NOTE: Cross sections supplied by Mike Mills, CU/LASP

-------------------------------------------------------------------
lambda (nm) min max	 sigma (cm^2)
-------------------------------------------------------------------
178.571	180.180	5.25E-18
180.180	181.818	3.60E-17
181.818	183.486	7.20E-17
183.486	185.185	5.50E-17
185.185	186.916	5.60E-17
186.916	188.679	6.30E-17
188.679	190.476	7.40E-17
190.476	192.308	1.00E-16
192.308	194.175	8.30E-17
194.175	196.078	2.40E-16
196.078	198.078	6.50E-16
198.078	200.000	3.90E-16
200.000	202.020	8.60E-17
202.020	204.082	7.10E-16
204.082	206.186	4.70E-17
206.186	208.333	6.30E-17
208.333	210.526	1.40E-17
210.526	212.766	7.70E-18
212.766	215.054	1.00E-18
215.054	217.391	4.50E-19
217.391	219.780	5.50E-20
219.780	222.222	0
222.222	224.719	0
224.719	227.273	0
227.273	229.885	0
229.885	232.558	0
232.558	235.294	0
235.294	238.095	0
238.095	240.964	0
240.964	243.902	0
243.902	246.914	0
246.914	250.000	0
250.000	253.165	0
253.165	256.410	0
256.410	259.740	0
259.740	263.158	0
263.158	266.667	0
266.667	270.270	0
270.270	273.973	0
273.973	277.778	0
277.778	281.690	7.00E-22
281.690	285.714	1.50E-21
285.714	289.855	5.00E-21
289.855	294.118	8.00E-21
294.118	298.507	1.00E-20
298.507	303.030	4.00E-20
303.030	307.692	6.50E-20
307.692	312.500	9.80E-20
312.500	317.500	9.10E-20
317.500	322.500	8.30E-20
322.500	327.500	6.90E-20
327.500	332.500	2.90E-20
332.500	337.500	1.00E-20
337.500	342.500	7.50E-21
342.500	347.500	4.40E-21
347.500	352.500	2.30E-21
352.500	357.500	5.30E-22
357.500	362.500	0
362.500	367.500	0
367.500	372.500	0
372.500	377.500	0
377.500	382.500	0
382.500	387.500	0
387.500	392.500	0
392.500	397.500	0
397.500	402.500	0
402.500	407.500	0
407.500	412.500	0
412.500	417.500	0
417.500	422.500	0
422.500	427.500	0
427.500	432.500	0
432.500	437.500	0
437.500	442.500	0
442.500	447.500	0
447.500	452.500	0
452.500	457.500	0
457.500	462.500	0
462.500	467.500	0
467.500	472.500	0
472.500	477.500	0
477.500	482.500	0
482.500	487.500	0
487.500	492.500	0
492.500	497.500	0
497.500	502.500	0
502.500	507.500	0
507.500	512.500	0
512.500	517.500	0
517.500	522.500	0
522.500	527.500	0
527.500	532.500	0
532.500	537.500	0
537.500	542.500	0
542.500	547.500	0
547.500	552.500	0
552.500	557.500	0
557.500	562.500	0
562.500	567.500	0
567.500	572.500	0
572.500	577.500	0
577.500	582.500	0
582.500	587.500	0
587.500	592.500	0
592.500	597.500	0
597.500	602.500	0
602.500	607.500	0
607.500	612.500	0
612.500	617.500	0
617.500	622.500	0
622.500	627.500	0
627.500	632.500	0
632.500	637.500	0
637.500	642.500	0
642.500	647.500	0
647.500	655.222	0
655.222	665.374	0
665.374	675.324	0
675.324	685.107	0
685.107	695.096	0
695.096	704.821	0
704.821	714.798	0
714.798	724.738	0
724.738	734.713	0
734.713	744.708	0
